chr1	4696133	4696533	Merged-chr1-4696333-2	3.96	4.69	20.88	24.5	0.76	0.71	1.63	1.76
chr1	9560517	9560917	Merged-chr1-9560717-2	1.58	1.56	4.32	4.08	12.9	9.19	2.44	1.76
chr1	9794605	9795005	Merged-chr1-9794805-2	0	0	0	1.36	8.35	15.56	11.39	17.63
chr1	10188045	10188445	Merged-chr1-10188245-1	6.34	4.69	1.44	2.72	12.9	4.24	2.44	4.41
chr1	13185918	13186318	Merged-chr1-13186118-2	10.3	5.47	23.04	17.69	2.28	0.71	2.44	4.41
chr1	13444585	13444985	Merged-chr1-13444785-2	0.79	3.12	38.16	57.84	3.79	9.9	2.44	0
chr1	14296464	14296864	Merged-chr1-14296664-2	38.03	35.93	5.76	2.72	6.83	7.07	8.95	5.29
chr1	16590118	16590518	Merged-chr1-16590318-1	1.58	3.12	4.32	2.72	10.62	7.78	4.07	5.29
chr1	17527480	17527880	Merged-chr1-17527680-2	3.96	3.12	25.2	31.3	9.1	7.07	1.63	2.65
chr1	21027952	21028352	Merged-chr1-21028151-3	2.38	3.91	23.76	22.45	4.55	16.27	0.81	4.41
chr1	21042656	21043056	Merged-chr1-21042856-1	6.34	7.81	5.76	10.89	3.79	2.12	9.76	6.17
chr1	21074809	21075209	Merged-chr1-21074998-5	9.51	3.12	6.48	8.85	15.17	21.93	34.18	18.52
chr1	21076383	21076783	Merged-chr1-21076583-2	0.79	0.78	10.08	12.25	0.76	3.54	2.44	2.65
chr1	21305862	21306262	Merged-chr1-21306058-3	1.58	0	0.72	0	26.55	17.68	11.39	8.82
chr1	23230489	23230889	Merged-chr1-23230689-1	1.58	1.56	9.36	12.93	6.07	11.32	0.81	6.17
chr1	23931135	23931535	Merged-chr1-23931339-4	3.17	3.12	3.6	1.36	15.17	13.44	26.85	29.1
chr1	30986994	30987394	Merged-chr1-30987191-5	3.17	6.25	39.6	26.54	135.81	119.53	5.7	13.23
chr1	31152604	31153004	Merged-chr1-31152801-3	11.09	4.69	30.24	29.26	14.42	15.56	16.27	15.87
chr1	33701773	33702173	Merged-chr1-33701971-4	1.58	2.34	30.24	27.9	24.28	26.88	0.81	9.7
chr1	33728126	33728526	Merged-chr1-33728331-3	4.75	5.47	18	21.77	11.38	6.37	4.07	2.65
chr1	33864280	33864680	Merged-chr1-33864480-2	2.38	5.47	5.04	8.17	17.45	24.05	8.95	9.7
chr1	34070512	34070912	Merged-chr1-34070700-6	1.58	3.91	20.16	18.37	18.21	21.93	18.72	20.28
chr1	34100660	34101060	Merged-chr1-34100867-7	15.05	21.09	79.2	93.9	41.73	69.31	45.57	41.44
chr1	34166341	34166741	Merged-chr1-34166541-2	15.85	11.72	11.52	17.69	3.79	11.32	10.58	9.7
chr1	34174544	34174944	Merged-chr1-34174742-3	7.13	3.91	12.24	8.17	19.73	13.44	3.25	9.7
chr1	34176929	34177329	Merged-chr1-34177129-2	5.55	2.34	23.76	12.93	6.83	22.63	4.88	7.05
chr1	34296894	34297294	Merged-chr1-34297097-4	4.75	7.81	5.04	3.4	15.93	24.05	29.29	22.93
chr1	34392586	34392986	Merged-chr1-34392786-1	3.96	8.59	1.44	4.08	4.55	2.12	6.51	14.99
chr1	34495914	34496314	Merged-chr1-34496114-1	4.75	3.12	5.04	9.53	9.1	8.49	5.7	12.34
chr1	34893644	34894044	Merged-chr1-34893844-1	3.17	0.78	5.76	10.89	3.03	4.95	2.44	5.29
chr1	36025319	36025719	Merged-chr1-36025519-2	19.02	21.87	10.8	6.12	4.55	5.66	6.51	5.29
chr1	36033365	36033765	Merged-chr1-36033565-2	4.75	2.34	30.96	28.58	4.55	7.07	2.44	3.53
chr1	36034584	36034984	Merged-chr1-36034778-4	9.51	17.97	43.92	28.58	12.14	19.8	7.32	1.76
chr1	36087189	36087589	Merged-chr1-36087399-6	33.28	32.03	25.92	17.01	15.93	36.07	22.78	31.74
chr1	36145067	36145467	Merged-chr1-36145262-3	8.72	5.47	10.8	17.69	12.9	45.97	0.81	8.82
chr1	36173351	36173751	Merged-chr1-36173551-2	3.17	5.47	28.8	42.87	15.93	21.22	3.25	2.65
chr1	36490392	36490792	Merged-chr1-36490602-3	0.79	1.56	2.16	2.04	5.31	11.32	21.16	17.63
chr1	36532607	36533007	Merged-chr1-36532807-2	3.96	3.91	12.96	17.69	15.93	24.05	3.25	5.29
chr1	36580040	36580440	Merged-chr1-36580237-3	1.58	2.34	0.72	2.72	11.38	9.9	7.32	16.75
chr1	36592868	36593268	Merged-chr1-36593064-3	3.17	3.12	7.2	2.72	13.66	9.9	36.62	41.44
chr1	36626630	36627030	Merged-chr1-36626839-3	5.55	4.69	10.08	24.5	7.59	14.15	21.97	12.34
chr1	36646039	36646439	Merged-chr1-36646196-6	10.3	10.94	2.16	3.4	12.9	11.32	17.09	26.45
chr1	36704888	36705288	Merged-chr1-36705088-2	2.38	0.78	0	1.36	3.79	6.37	32.55	31.74
chr1	36956409	36956809	Merged-chr1-36956639-4	3.96	0.78	2.16	0.68	25.8	21.93	12.21	18.52
chr1	36993868	36994268	Merged-chr1-36994058-4	9.51	12.5	9.36	15.65	8.35	9.9	11.39	7.94
chr1	36996891	36997291	Merged-chr1-36997091-1	11.09	7.03	7.2	8.17	8.35	16.97	15.46	23.81
